nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0001673	Jason Robards	1922	2000	actor,soundtrack	tt0064116,tt0175880,tt0076245,tt0074119
nm0001674	Chris Rock	1965	\N	producer,actor,writer	tt0325537,tt0122151,tt0398165,tt2784678
nm0001675	Robert Rodriguez	1968	\N	producer,writer,director	tt0287717,tt0285823,tt0104815,tt1077258
nm0001676	Nicolas Roeg	1928	\N	camera_department,director,cinematographer	tt0089343,tt0100944,tt0080408,tt0069995
nm0001677	Ginger Rogers	1911	1995	actress,soundtrack	tt0032671,tt0034299,tt0035019,tt0044916
nm0001678	Roy Rogers	1911	1998	soundtrack,actor,producer	tt1409024,tt0030742,tt0037018,tt0043225
nm0001679	Mark Rolston	1956	\N	actor,writer	tt0111161,tt0120812,tt0090605,tt0407887
nm0001680	Robert Romanus	1956	\N	actor,soundtrack	tt0083929,tt1017451,tt0083412,tt0156146
nm0001681	George A. Romero	1940	2017	producer,writer,director	tt0095652,tt0848557,tt0418819,tt0063350
nm0001682	Mickey Rooney	1920	2014	actor,soundtrack,producer	tt0054698,tt0057193,tt0031066,tt0477347
nm0001683	Roseanne Barr	1952	\N	producer,actress,writer	tt0100050,tt0094540,tt6845390,tt0101917
nm0001684	Katharine Ross	1940	\N	actress,writer,soundtrack	tt0064115,tt0061722,tt0073747,tt0246578
nm0001685	Rick Rossovich	1957	\N	actor,camera_department	tt0088247,tt0092099,tt0093886,tt0100232
nm0001686	Cynthia Rothrock	1957	\N	actress,producer,stunts	tt0094374,tt0111552,tt0105900,tt0104667
nm0001687	Gena Rowlands	1930	\N	actress,writer,soundtrack	tt0332280,tt0119313,tt0397101,tt0072417
nm0001688	Alan Ruck	1956	\N	actor,soundtrack	tt0117998,tt0091042,tt0111280,tt0111257
nm0001689	Mercedes Ruehl	1948	\N	actress,soundtrack	tt0101889,tt0094737,tt0107362,tt0095593
nm0001690	Jennifer Runyon	1960	\N	actress,producer,soundtrack	tt0087332,tt0088333,tt0096376,tt0106521
nm0001691	Geoffrey Rush	1951	\N	actor,soundtrack,producer	tt0180073,tt0325980,tt0138097,tt1504320
nm0001692	Ken Russell	1927	2011	director,writer,actor	tt0080360,tt0073812,tt0066993,tt0066858
nm0001693	Eva Marie Saint	1924	\N	actress,producer	tt0047296,tt0053125,tt0348150,tt1837709
nm0001694	Meredith Salenger	1970	\N	actress,soundtrack,miscellaneous	tt0114852,tt0089385,tt0139414,tt1075417
nm0001695	George Sanders	1906	1972	actor,soundtrack,writer	tt0046511,tt0032976,tt0037988,tt0042192
nm0001696	Julian Sands	1958	\N	actor,assistant_director,soundtrack	tt0102511,tt0288045,tt0098622,tt0091867
nm0001697	Chris Sarandon	1942	\N	actor,soundtrack,producer	tt0094862,tt0093779,tt0089175,tt0072890
nm0001698	John Savage	1949	\N	actor,producer,soundtrack	tt0077416,tt0079261,tt0091886,tt0120863
nm0001699	Telly Savalas	1922	1994	actor,soundtrack,director	tt0058947,tt0064757,tt0065938,tt0069599
